smiles,toxicity
BrCC1=CC=CC=C1,0
OB(O)O,0
O(P(OC1=CC=CC=C1)OC2=CC=CC=C2)C3=CC=CC=C3,0
CCCCCC(CO)=CC1=CC=CC=C1,0
ClC1=C(C=CC=C1)C2CS\C(S2)=C(\C#N)N3C=CN=C3,0
CCOC1O[C@H]([C@H](COCC2=CC=CC=C2)OCC3=CC=CC=C3)[C@H](OCC4=CC=CC=C4)[C@H]1O,0
C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)C4=C1C=CC=C4O,0
BrCCBr,0
C=CC=O,0
CC(O)CC(C)(C)O,0
COC1=C(CC2=CN(C)C3=C2C=C(NC(=O)OC4CCCC4)C=C3)C=CC(=C1)C(=O)NS(=O)(=O)C5=C(C)C=CC=C5,0
CC1=CC=CC=C1,0
OCCOCCO,0
CC(N(O)C(N)=O)C1=CC2=C(S1)C=CC=C2,1
OC(=O)CCCCCCCCC=C,0
CCCCCCCCCCCCCCO,0
CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2CC3=CNC4=C3C(=CC=C4)C2=C1,0
OC(C1CCNCC1)(C2=CC=CC=C2)C3=CC=CC=C3,0
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,0
COCCCOC1=CC=NC(C[S+]([O-])C2=NC3=C([N-]2)C=CC=C3)=C1C,1
CC1=C(C=C(C#N)C(=O)N1)C2=CN3C=CN=C3C=C2,0
OC1=CC=CC(=C1)C2=C3NC(C=C3)=C(C4=NC(C=C4)=C(C5=CC=C(N5)C(=C6CCC2=N6)C7=CC(O)=CC=C7)C8=CC(O)=CC=C8)C9=CC(O)=CC=C9,1
OC1=CC=C(C=O)C=C1,0
OC1=CC=C(O)C=C1,0
CC(C)CCO,0
CON=C(C(=O)NC1C2SCC(C[N+]3(C)CCCC3)=C(N2C1=O)C(O)=O)C4=CSC(N)=N4,0
CC(C)(O)C1C2OC(=O)C1C3(O)CC4OC45C(=O)OC2C35C,0
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC4OC(CO)C(O)C(O)C4N)C2O)C(N)C(O)C1O,0
NC(=O)NO,1
COC1=C(OC)C2=C(C=C1)C(OC2=O)C3N(C)CCC4=CC5=C(OCO5)C(OC)=C34,0
CCCCC1C(=O)N(N(C1=O)C2=CC=C(O)C=C2)C3=CC=CC=C3,0
ClCCN(N=O)C(=O)NC1CCCCC1,1
CC1=CC=C(OP(=O)(OC2=CC=C(C)C=C2)OC3=CC=C(C)C=C3)C=C1,0
CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,1
C1=CC=C(C=C1)CCC=O,0
[Au+3],0
CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=C(C=CC=C2)N3CCCCC3)=C1)C(O)=O,0
O=C1N(C[C@H]2CCCC3=CC=CC1=C23)[C@@H]4CN5CCC4CC5,1
CN(C)C(=S)SSC(=S)N(C)C,0
FC(F)OC(F)(F)C(F)Cl,1
CC1OC(OC2CC3OC(O)(CC(O)C3C(O)=O)CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C(O)C(C)C=CC=CC=CC=CC=CC=CC=C2)C(O)C(N)C1O,1
CN(C)CCC=C1C2=CC=CC=C2COC3=C1C=C(CC(O)=O)C=C3,1
CCOC(=O)NC(C)(C)CC1=CC=C(Cl)C=C1,0
NC1=NC(N)=C2N=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=NC2=N1,1
CC(C)C1=C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)C(=NC(=N1)N(C)S(C)(=O)=O)C2=CC=C(F)C=C2,1
CN1CCCC1CCOC(C)(C2=CC=CC=C2)C3=CC=C(Cl)C=C3,0
CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N3CCCC3)C=C2,0
CC(=O)\C=C\C=C(C)C,0
C(CCCOCC1CO1)CCOCC2CO2,0
CC12CCC3C(CCC4NC(=O)C=CC34C)C1CCC2C(=O)NC5=C(C=CC(=C5)C(F)(F)F)C(F)(F)F,0
CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(Cl)C=C(Cl)C=C3)C4=CC=C(Cl)C=C4,0
CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(N)(=O)=O,1
CC(S)C(=O)NCC(O)=O,1
NC1=CC=C(C=C1)N=C2C=C(N)C(C=C2N)=NC3=CC=C(N)C=C3,0
CON=C1CN(CC1CN)C2=C(F)C=C3C(=O)C(=CN(C4CC4)C3=N2)C(O)=O,0
CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,1
CC(C)NCC1CCC2=C(N1)C=C(C(CO)=C2)[N+]([O-])=O,0
CN(C)C1C2CC3CC4=C(C=C(NC(=O)CNC(C)(C)C)C(O)=C4C(O)=C3C(=O)C2(O)C(O)=C(C(N)=O)C1=O)N(C)C,0
NC(N)=NCC1COC2(CCCCC2)O1,0
CC(C)NCC(O)COC1=C(C)C(C)=C(OC(C)=O)C(C)=C1,0
ClC1=CC(Cl)=C(C=C1)C(CN2C=CN=C2)OCC3=C(Cl)C=CC=C3Cl,0
ClN1C(=O)[N-]C(=O)N(Cl)C1=O,0
CCOP(=S)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl,0
CC1=NC(=CC(NC2=NC=C(S2)C(=O)NC3=C(C)C=CC=C3Cl)=N1)N4CCN(CCO)CC4,1
CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,0
NNC1=NN=CC2=C1C=CC=C2,0
CN(CC#C)CC1=CC=CC=C1,0
CN1C=CC(=O)C(O)=C1C,1
CC1COC2(N1CC(=O)NC3=C2C=C(Cl)C=C3)C4=CC=CC=C4Cl,0
COC1=CC2=C(C=C1)C(C)(C)C(=O)N(CCC3=CC=C(C=C3)S(=O)(=O)NC(=O)NC4CCCCC4)C2=O,0
CO[C@]2(NC(=O)CC1=CC=CS1)[C@H]3SCC(COC(N)=O)=C(N3C2=O)C([O-])=O,0
C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(C)=O)C(=O)COC(C)=O,0
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C,1
ClC1=CC(Cl)=C(C=C1)C(CN2C=CN=C2)OCC=C,0
CC1=CC=C(C=C1)\C=C2/[C@H]3CC[C@@](C)(C2=O)C3(C)C,0
CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C2=CC=CC=N2)C(C)C,0
CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]3NC(N)=N)O[C@@H](C)[C@]2(O)C=O,0
CCCCCCC\C=C\C=O,0
OCN1C(NC(=O)NCNC(=O)NC2N(CO)C(=O)NC2=O)C(=O)NC1=O,0
NC1=NC2=C(N=C(C3=CC=CC=C3)C(N)=N2)C(N)=N1,0
CN1CCN(CCCN2C3=CC(=CC=C3SC4=C2C=CC=C4)C(F)(F)F)CC1,1
C=CCOC(=O)CC1CCCCC1,0
CC1(C)SC2C(NC(=O)C(C([O-])=O)C3=CC=CC=C3)C(=O)N2C1C([O-])=O,0
CC12CCC3C(CCC4=C3C=CC(OC(=O)N(CCCl)CCCl)=C4)C1CCC2OP(O)(O)=O,1
CCC(=O)C1(C)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,0
COC12C3NC3CN1C4=C(C2COC(N)=O)C(=O)C(N)=C(C)C4=O,1
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO,1
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO,1
C1=CC=C2C(=C1)C=C3C=CC4=C5C(C=CC2=C35)=CC=C4,0
CC(=O)NC1=CC=C(OC(=O)C2=C(OC(C)=O)C=CC=C2)C=C1,0
CN1CC(CC2C1CC3=CNC4=CC=CC2=C34)C(=O)NC5(C)OC6(O)C7CCCN7C(=O)C(CC8=CC=CC=C8)N6C5=O,0
CN1C(=O)C(O)=C(N=C1C(C)(C)NC(=O)C2=NN=C(C)O2)C(=O)NCC3=CC=C(F)C=C3,1
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O,0
CC1=C(O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,0
CC(C([O-])=O)C1=CC=CC(OC2=CC=CC=C2)=C1,0
CC(C)=CCCC(C)=CC=O,0
NC1=NC2=NC=C(CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)N=C2C(N)=N1,0
NC1=C(N)C=NC=C1,0
CCC12CC(=C)C3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,1
NC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,0
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C13,0
CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)CO)OC(CO)C(O)C1O,0
COP(=S)(OC)OC1=CC(C)=C(SC)C=C1,0
CCCCNC(=O)OCC#CI,0
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,0
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,0
CC[N+](CC)(CC)CC,0
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,0
NCCCCC(NC(=O)C1CCCN1C(=O)C2CSSCC(N)C(=O)NC(CC3=CC=CC=C3)C(=O)NC(CC4=CC=CC=C4)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N2)C(=O)NCC(N)=O,0
OCC(O)CO,0
CCCCC(=O)OCC(=O)C1(O)CC(OC2CC(NC(=O)C(F)(F)F)C(O)C(C)O2)C3=C(C1)C(O)=C4C(=O)C5=C(C(=O)C4=C3O)C(OC)=CC=C5,0
NC(N)=O,0
CCC1(C(=O)NC(=O)[N-]C1=O)C2=CC=CC=C2,0
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1
NC1=NC=NC2=C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,0
CCCCCCCCOC(=O)C1=CC=C(C=C1)N(C)C,0
CN[C@@]1(C)[C@@H]2CC[C@@H](C2)C1(C)C,0
OC1N=C(C2=CC=CC=C2)C3=C(NC1=O)C=CC(Cl)=C3,0
O=C1NC2=CC=CC=C2N1CCCN3CCN(CC3)C(C4=CC=CC=C4)C5=CC=CC=C5,0
CN(CC1=C(N)C(Br)=CC(Br)=C1)C2CCCCC2,0
[O-]C1=CC=CC=C1C2=CC=CC=C2,0
CN1CC[C@@]23[C@H]4OC5=C2C(C[C@@H]1[C@@H]3C=C[C@@H]4O)=CC=C5O,0
