smiles,toxicity
BrCC1=CC=CC=C1,0
CCC1=CC=CC=C1,0
C1N2CN3CN1CN(C2)C3,0
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ba+2],0
CC1=CC=CN2C(=O)C(=CN=C12)C3=NN=N[N-]3,0
O=C(OCC1=CC=CC=C1)\C=C\C2=CC=CC=C2,0
CCOC1O[C@H]([C@H](COCC2=CC=CC=C2)OCC3=CC=CC=C3)[C@H](OCC4=CC=CC=C4)[C@H]1O,0
CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1,1
NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)CCC2N)C(O)C1OC3OC(CO)C(O)C(N)C3O,0
O=C1CCCCCCCCCCCC(=O)OCCO1,0
CC\C(C1=CC=CC=C1)=C(/C2=CC=CC=C2)C3=CC=C(OCCN(C)C)C=C3,1
C[C@@H](NCC(C)(C)CN[C@H](C)C(\C)=N\O)C(\C)=N\O,0
C=CC(=O)OCCCCOC(=O)C=C,0
CC1=CC(C)=CC=C1,0
NC1=NCC2N1C3=C(CC4=C2C=CC=C4)C=CC=C3,0
CCN(CC)C(C)CN1C2=CC=CC=C2SC3=C1C=CC=C3,1
C1CNCCN1,1
CN(C)CC\C=C1/C2=CC(Cl)=CC=C2SC3=C1C=CC=C3,1
BrC1=CC=C(C=C1)C2C(=O)C3=C(C=CC=C3)C2=O,0
CC(=O)OC1=CC=C(C=C1)C2(C(=O)NC3=C2C=CC=C3)C4=CC=C(OC(C)=O)C=C4,0
CC[N+](C)(C)C1=CC(O)=CC=C1,1
OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O,1
NS(=O)(=O)C1=CC(=C(Cl)C(Cl)=C1)S(N)(=O)=O,0
COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,1
CCCCCC(C=O)=CC1=CC=CC=C1,0
CCCCCCCC#N,0
OC1=CC=C(C=C1)C2(C(=O)NC3=CC=CC=C23)C4=CC=C(O)C=C4,0
CCC1(CCC(=O)NC1=O)C2=CC=C(N)C=C2,1
NC(=O)NO,1
CC1=CC=C(C=C1)S(=O)(=O)[N-]Cl,0
CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,0
CC=C1NC(=O)C2CSSCCC=CC(CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(NC1=O)C(C)C,1
CCCCC1C(=O)N(N(C1=O)C2=CC=C(O)C=C2)C3=CC=CC=C3,0
CC1CC(C)=CC(C)C1C=O,0
CCCCCCCCCCCCCCCCCC(=O)OCC(O)C1OCC(O)C1O,0
