smiles,toxicity
CC1=NC=C(CSSCC2=C(CO)C(O)=C(C)N=C2)C(CO)=C1O,1
C1C(C2=NCCN2)C1(C3=CC=CC=C3)C4=CC=CC=C4,1
ClC1=NC(NC2=C(Cl)C=CC=C2)=NC(Cl)=N1,0
CCCCCC(CO)=CC1=CC=CC=C1,0
OC1=CC=C(OCC2=CC=CC=C2)C=C1,0
O=C(OCC1=CC=CC=C1)\C=C\C2=CC=CC=C2,0
CCOC(CN1CCN(CC(C)C(=O)C2=CC=CC=C2)CC1)C3=CC=CC=C3,0
COC1=CC=C(CO)C=C1,0
CN(C)CCC=C1C2=CC=CC=C2C(C)(C)C3=C1C=CC=C3,1
CC(C)=CCC\C(C)=C\CO,0
OCCCl,0
COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]34O[C@@H]3C[C@@]5(C)[C@@H](CC[C@@]56CCC(=O)O6)[C@H]14,1
C[C@H]1CN(C[C@@H](C)N1)C2=C(F)C3=C(C(=O)C(=CN3C4CC4)C(O)=O)C(N)=C2F,1
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=C(Cl)C=CC=C1)CC2=C(Cl)C=CC=C2,0
COC(=O)C1=C(O)C=CC=C1,1
CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N5CCOCC5)[N+]6(CC=C)CCCC6,0
CN(C)C1=CC=CC=C1,0
OC1=CC=C(O)C=C1,0
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3C(=O)CC2(C)C1(O)C(=O)CO,0
CCC1(CCC(=O)NC1=O)C2=CC=C(N)C=C2,1
COC1=CC(OC)=C(Cl)C2=C1C(=O)C3(O2)C(C)CC(=O)C=C3OC,1
CC(=O)C(C)=CC1C(C)=CCCC1(C)C,0
CCN1CCCC(C1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3,0
CSC1=CC2=C(SC3=C(C=CC=C3)N2CCC4CCCCN4C)C=C1,1
[K+],0
CC(=O)C1=C(C)CC(C)(C)C1(C)C,0
CC1=CC=C(O)C=C1,0
CC1=C(C(=O)NC2C3SC(C)(C)C(N3C2=O)C([O-])=O)C(=NO1)C4=C(Cl)C=CC=C4Cl,1
[O-][Si]1([O-])O[Si]2(O1)O[Si]([O-])([O-])O2,0
CN(C)CCN(CC1=CC=CS1)C2=NC=CC=C2,0
O=C1N(C[C@H]2CCCC3=CC=CC1=C23)[C@@H]4CN5CCC4CC5,1
C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]3O[C@@H]23)OC(=O)C(O)(C4=CC=CS4)C5=CC=CS5,1
COC1=CC=C(CC=C)C=C1,0
CCCCCCC,0
CCCCCCCCCCCCCCCC(=O)OC(C)C,0
CCCCOCCCC,0
NC1=NC2=C(N=CN2C3CC(O)C(CO)C3=C)C(=O)N1,1
ClC1=C(CCN2CCN(CC2)C3=NSC4=C3C=CC=C4)C=C5CC(=O)NC5=C1,1
CC(CCOC(C)=O)CCC=C(C)C,0
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP([O-])([O-])=O,1
CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N3CCCC3)C=C2,1
CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]2O[C@H](C)[C@@H](O)[C@H]2O,1
Cl[Pt++]Cl,1
CC1=C(O)C=CC=C1C(=O)N[C@@H](CSC2=CC=CC=C2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C,1
CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)S(=O)(=O)C3=CC=C(N)C=C3,1
CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C2=C(Cl)C(Cl)=CC=C2)C(=O)OC,1
[O-]C(=O)CCCC1=CC=CC=C1,1
COCCCOC1=C(OC)C=CC(CC(CC(N)C(O)CC(C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1,1
CCC=C1OC(=O)C2=CC=CC=C12,0
