smiles,toxicity
[O-][Se](=O)[O-].[Na+].[Na+],0
CCC(=O)C=CC1=CC=C(OC)C=C1,0
CC(CCOC=O)CCC=C(C)C,0
CC(C)=CCC\C(C)=C\CO,0
ClC1=CC=C(Cl)C=C1,0
O=C1C=CC(=O)C=C1,0
CC(=C)C(=O)OCC1CO1,0
CCCC(CCC)C([O-])=O,1
CN1N=C(C(=O)N[C@@H]2C[C@@H]3CCC[C@H](C2)N3C)C4=C1C=CC=C4,0
CCC[C@H](N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(O)=O)C(=O)OCC,0
COC1=C(CC2=CN(C)C3=C2C=C(NC(=O)OC4CCCC4)C=C3)C=CC(=C1)C(=O)NS(=O)(=O)C5=C(C)C=CC=C5,1
CC(C)CC(C)=O,0
CCCCCCCCCC(C)C=O,0
CCCCCC,0
CCCCCCC#CC(=O)OC,0
CN(C)C(=N)NC(N)=N,1
CCCCCCCCCCO,0
CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2CC3=CNC4=C3C(=CC=C4)C2=C1,0
CC[N+](C)(C)C1=CC(O)=CC=C1,0
COC1=CC(=CC(OC)=C1OP(O)(O)=O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)C6=C2C=C7OCOC7=C6,1
CC1CC(CC(C)(C)C1)OC(=O)C2=C(O)C=CC=C2,0
O=C1CCC2=C(O1)C=CC=C2,0
CNC(C)(C)CC1=CC=CC=C1,0
CCCCOC(C)=O,0
CN1CCCN=C1COC(=O)C(O)(C2CCCCC2)C3=CC=CC=C3,0
CC(O)C(C)C1OC1CC2COC(CC(C)=CC(=O)OCCCCCCCCC(O)=O)C(O)C2O,0
CC(C)(C)C1=CC=C(CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(Cl)C=C4)C=C1,0
COC1=C(OCCCN2CCC(CC2)C3=NOC4=C3C=CC(F)=C4)C=CC(=C1)C(C)=O,1
CCN(CC)C(C)C(=O)C1=CC=CC=C1,0
[O-][Si]1([O-])O[Si]2(O1)O[Si]([O-])([O-])O2,0
CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C,0
C[C@@H](C1=NC=NC=C1F)[C@](O)(CN2C=NC=N2)C3=C(F)C=C(F)C=C3,1
COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1,1
CC(=O)OCC1=CC=CC=C1,0
O=C1NC(=S)NC=C1,0
CC(C)C(=O)OCC(=O)C12OC(OC1CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC23C)C6CCCCC6,1
CCCCCCCCCCCCCCCC(=O)OC(C)C,0
CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,1
CN(C)CCC1=CNC2=C1C=C(CN3C=NC=N3)C=C2,0
C[Se]CCC(C(=O)O)N,0
CC(C)(OC1=CC=C(Cl)C=C1)C(=O)OCCCOC(=O)C(C)(C)OC2=CC=C(Cl)C=C2,0
CC(C)CC1=CC=C(CC(O)=O)C=C1,1
CCCCCCCCCC(C)O,0
CC(OC1OCCN(CC2=NNC(=O)N2)C1C3=CC=C(F)C=C3)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,0
CN1CC(=O)N2C(CC3=C(NC4=CC=CC=C34)C2C5=CC6=C(OCO6)C=C5)C1=O,1
NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2,1
CCCCNC(=O)N1C(NC(=O)OC)=NC2=CC=CC=C12,0
BrC1=CC2=C(NC(=O)CN=C2C3=CC=CC=N3)C=C1,0
ClC1=CC=C([C@@H]2CS\C(S2)=C(\C#N)N3C=CN=C3)C(Cl)=C1,0
CC(S)C(=O)NCC(O)=O,1
CCC(=O)[N-]S(=O)(=O)C1=CC=C(C=C1)C2=C(C)ON=C2C3=CC=CC=C3,1
COC(=O)NC(C(=O)NC(CC1=CC=CC=C1)C(O)CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C,1
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(=O)C(C)(C)C,0
CC(C)C1=CC=CC(C(C)C)=C1O,1
COP(=S)(OC)OC1=CC(Cl)=C(Br)C=C1Cl,0
CN1CCN(CC2=CC=C(C=C2)C(=O)NC3=CC(NC4=NC=CC(=N4)C5=CN=CC=C5)=C(C)C=C3)CC1,1
OC1=CC2=C(C=C1)C3(OC(=O)C4=CC=CC=C34)C5=C(O2)C=C(O)C=C5,1
CC(=O)OC1=CC=C(C=C1)C(O)=O,0
NC(CSCC(O)=O)C(O)=O,0
C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,1
C\C=C\C(=O)C1C(C)=CCCC1(C)C,0
CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C(NC5=C4C=CC(OC)=C5)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)\C=C\C6=CC(OC)=C(OC)C(OC)=C6,0
ClC1=CC=CC=C1C=C(C#N)C#N,0
OC(=O)[C@@H](S)[C@H](S)C(O)=O,0
CC(C)(C)NC[C@H](O)COC1=C2CCCC(=O)C2=CC=C1,0
ClC1=CC=C2N(CC3CC3)C(=O)CN=C(C4=CC=CC=C4)C2=C1,0
CCSCC1=C(OC(=O)NC)C=CC=C1,0
CCN1C[C@@]2(COC)[C@H]3[C@@H](OC)[C@H]4[C@@H]1[C@@]3([C@@H]5C[C@@]6(O)[C@H](OC(=O)C7=CC=CC=C7)[C@@H]5[C@]4(OC(C)=O)[C@@H](O)[C@@H]6OC)[C@H](C[C@H]2O)OC,0
C[C@H](CCC([O-])=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,0
OCCOCCOC(=O)C1=C(NC2=CC(=CC=C2)C(F)(F)F)C=CC=C1,1
COC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C7(C)C(CCC67O)C8=CC(=O)OC8)C4)OC3C)OC2C)OC1C,0
COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,1
C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)C[C@H](O)C3=C,0
CC(CCC1=CC=CC=C1)NCC(O)C2=CC=C(O)C(=C2)C(N)=O,1
CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C3=CC=CC=C3)[C@@H]4[C@@]5(CO[C@@H]5C[C@H](O)[C@@]4(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)C6=CC=CC=C6)C7=CC=CC=C7,1
OC[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3OC(O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0
CCN(CC)CCNC(=O)C1=CC=C(NC(C)=O)C=C1,0
CC=CC(=O)C1C(=C)CCCC1(C)C,0
ClC1=CC(Cl)=C(C=C1)C(CN2C=CN=C2)OCC=C,0
COC1=C2O[C@H]3C[C@@H](O)C=C[C@]34CCN(C)CC(C=C1)=C24,0
N[C@H](C(=O)N1[C@H]2C[C@H]2C[C@H]1C#N)C34CC5CC(CC(O)(C5)C3)C4,1
