smiles,toxicity
COC1=CC=C(C=C1)C(C)=O,0
[O-][N+](=O)C1=CC=C(CBr)C=C1,0
[O-][N+](=O)C1=CC=C(CCl)C=C1,0
CCN(CC)CCO,0
BrCC1=CC=CC=C1,0
CCC1=CC=CC=C1,0
C=CC1=CC=CC=C1,0
C=CC1=CC=NC=C1,0
OCC1=CC=CC=C1,0
O=CC1=CC=CC=C1,0
OCC1=CC=CN=C1,0
ONC1=CC=CC=C1,0
C1N2CN3CN1CN(C2)C3,1
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ba+2],0
Cl[Sb](Cl)Cl,0
CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC5=CC=C(OC(=O)N6CCC(CC6)N7CCCCC7)C=C15,1
CC1=CC=CN2C(=O)C(=CN=C12)C3=NN=N[N-]3,0
CCCCCCOC(=O)C(C)CC,0
OB(O)O,1
[Ca++],0
CC1=NC=C(CSSCC2=C(CO)C(O)=C(C)N=C2)C(CO)=C1O,1
ClC1=CC2=C(C=C1)C(=C3CCNCC3)C4=NC=CC=C4CC2,0
C1C(C2=NCCN2)C1(C3=CC=CC=C3)C4=CC=CC=C4,1
O(P(OC1=CC=CC=C1)OC2=CC=CC=C2)C3=CC=CC=C3,0
ClC1=NC(NC2=C(Cl)C=CC=C2)=NC(Cl)=N1,0
CN(C)C(=O)OC1=CC=C[N+](C)=C1,1
C\C(C=O)=C/C1=CC=CC=C1,0
CNC(C)CC1CCCCC1,0
O=C=NC1=CC=C(CC2=CC=C(C=C2)N=C=O)C=C1,0
NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,0
CCCCCC(CO)=CC1=CC=CC=C1,0
CCCCCCC(C=O)=CC1=CC=CC=C1,0
[N+](=O)([O-])[O-].[Tl+],0
Cl[Cd]Cl,0
CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2,1
[Zr++],0
ClC1=C(C=CC=C1)C2CS\C(S2)=C(\C#N)N3C=CN=C3,1
NC1=NC2=C(CCN(CC=C)CC2)S1,0
[O-][N+](=O)C1=C(Cl)C=CC=C1C2=CNC=C2Cl,0
CN(CC1=CC=C(C=C1)C(C)(C)C)CC2=C3C=CC=CC3=CC=C2,1
CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,0
C=CCN(CC=C)CC=C,0
OCCN(CCO)CCO,0
COC1=C(C=C(Cl)C=C1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,0
COC1=CC=NC(C[S+]([O-])C2=NC3=C(N2)C=C(OC(F)F)C=C3)=C1OC,0
COP(N)(=O)SC,0
CCCCC(CC)COC(=O)C=C,0
OC1=CC=C(OCC2=CC=CC=C2)C=C1,0
O=C(OCC1=CC=CC=C1)\C=C\C2=CC=CC=C2,0
C(OCC1=CC=CC=C1)C2=CC=CC=C2,0
CC(=O)OC\C=C\C1=CC=CC=C1,0
CC(C)C(=O)OCCOC1=CC=CC=C1,0
BrCCC1=CC=CC=C1,0
CC(=O)NC1=CC=C(O)C=C1,1
CC(CC1=CC=C(C=C1)C(C)C)C=O,0
CCOC1O[C@H]([C@H](COCC2=CC=CC=C2)OCC3=CC=CC=C3)[C@H](OCC4=CC=CC=C4)[C@H]1O,0
O=C(NC1=C2OC(=CC(=O)C2=CC=C1)C3=NN=NN3)C4=CC=C(OCCCCC5=CC=CC=C5)C=C4,0
C[C@@H](O)C(O)=O,0
CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,0
CC1=C(C[S+]([O-])C2=NC3=C(N2)C=CC=C3)N=CC=C1OCC(F)(F)F,1
CNS(=O)(=O)CC1=CC2=C(NC=C2CCN(C)C)C=C1,1
CC1=CC(CC(C)(C)CO)=CC=C1,0
CC(C)(N)CC1=C(Cl)C=CC=C1,0
CC(=O)NC1=CC=C(\C=N\NC(N)=S)C=C1,0
ClC1=CC=C(C=C1)N=C=O,0
CCC(=O)C=CC1=CC=C(OC)C=C1,0
CCOCCOC(=O)\C=C\C1=CC=C(OC)C=C1,0
OCC=CC1=CC=CC=C1,0
O=CC=CC1=CC=CC=C1,0
CC1=CC=C(C=O)C=C1,0
CCOC(CN1CCN(CC(C)C(=O)C2=CC=CC=C2)CC1)C3=CC=CC=C3,0
OC(C(=O)OC1CC2CCC(C1)[N+]23CCCC3)(C4=CC=CC=C4)C5=CC=CC=C5,1
CC1(O)CCC2C3CCC4CC5=C(CC4(C)C3CCC12C)C=NN5,1
CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O,1
CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1,1
CON=C(C(=O)NC1C2SCC(CSC3=NC(=O)C(=O)NN3C)=C(N2C1=O)C([O-])=O)C4=CSC(N)=N4,1
COC(=O)C1=C(C)NC(C)=C(C1C2=CC(=CC=C2)[N+]([O-])=O)C(=O)OC3CCN(CC4=CC=CC=C4)C3,0
NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)CCC2N)C(O)C1OC3OC(CO)C(O)C(N)C3O,1
COC1CC(CCC1O)C=C(C)C2OC(=O)C3CCCCN3C(=O)C(=O)C4(O)OC(C(CC4C)OC)C(CC(C)CC(C)=CC(CC=C)C(=O)CC(O)C2C)OC,1
COC1=CC=C(CO)C=C1,0
CCCC(C)CO,0
O=C1CCCCCN1,0
CC(CCOC=O)CCC=C(C)C,0
CC(C)=CCC\C(C)=C\COC=O,0
CC(=O)OC\C=C(/C)CCC=C(C)C,0
CCCCCCCCCCCCC(Br)C(O)=O,0
CC\C(C1=CC=CC=C1)=C(/C2=CC=CC=C2)C3=CC=C(OCCN(C)C)C=C3,0
C[C@@H](NCC(C)(C)CN[C@H](C)C(\C)=N\O)C(\C)=N\O,0
CN(C)CCC=C1C2=CC=CC=C2C(C)(C)C3=C1C=CC=C3,1
CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC2=CC=CC=C2)C(O)=O,1
C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)C4=C1C=CC=C4O,1
CC(CCO)CCC=C(C)C,0
CC(C)=CCC\C(C)=C\CO,0
ClC1=CC=C(Cl)C=C1,0
NC1=CC=C(Cl)C=C1,0
OC1=CC=C(Cl)C=C1,0
NC1=CC=C(N)C=C1,0
O=C1C=CC(=O)C=C1,0
CC(CCC=C(C)C)C=O,0
ClCC1CO1,0
CC(=C)C(=O)OCC1CO1,0
BrCCBr,1
CC1=C(CCN2CCC(CC2)C3=NOC4=C3C=CC(F)=C4)C(=O)N5CCCCC5=N1,1
NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1,1
CCOC1=C(OCCN[C@H](C)CC2=CC(=C(OC)C=C2)S(N)(=O)=O)C=CC=C1,1
FC1=CC=C(C=C1)N2C=C(C3CCN(CCN4CCNC4=O)CC3)C5=C2C=CC(Cl)=C5,0
CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Cr+3],0
COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(O)=O)C45CC6CC(CC(C6)C4)C5,0
COC1=CC2=C(C=C1OC)[C@@H](CC3=CC(OC)=C(OC)C(OC)=C3)[N+](C)(CCCOC(=O)CC\C=C\CCC(=O)OCCC[N+]4(C)CCC5=C(C=C(OC)C(OC)=C5)[C@H]4CC6=CC(OC)=C(OC)C(OC)=C6)CC2,0
CCCC(CCC)C([O-])=O,1
C=CC=O,0
ClCCCl,0
OCCCl,1
C=CC#N,0
NCCN,0
OCCO,1
O=CC=O,0
CC(O)CC(C)(C)O,0
CCOP(=O)(OCC)OP(=O)(OCC)OCC,0
CCCC(C)=O,0
CC[C@@H](CO)NCCN[C@@H](CC)CO,1
C=CC(=O)OCCCCOC(=O)C=C,0
CN1N=C(C(=O)N[C@@H]2C[C@@H]3CCC[C@H](C2)N3C)C4=C1C=CC=C4,1
CCC[C@H](N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(O)=O)C(=O)OCC,0
COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]34O[C@@H]3C[C@@]5(C)[C@@H](CC[C@@]56CCC(=O)O6)[C@H]14,1
COC1=C(CC2=CN(C)C3=C2C=C(NC(=O)OC4CCCC4)C=C3)C=CC(=C1)C(=O)NS(=O)(=O)C5=C(C)C=CC=C5,1
CC(=O)N(CC(O)CO)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCCO)=C1I,1
CCC[N+]([O-])=O,0
CC(C)CC(C)=O,0
CC(C)OC(C)=O,0
O=C1OC(=O)C=C1,0
CC1=CC(C)=CC=C1,0
OC1=CC(O)=CC=C1,1
CC1=CC(C)=CC(C)=C1,0
CC(C)CC(=O)CC(C)C,0
CC1=CC=CC=C1,0
ClC1=CC=CC=C1,0
NC1CCCCC1,0
OC1CCCCC1,0
O=C1CCCCC1,0
OC1=CC=CC=C1,0
CC1CN(CCN1)C2=CC3=C(C=C2F)C(=O)C(=CN3C4=C(F)C=C(F)C=C4)C(O)=O,0
ClCC1=C2C=CC3=CC=CC4=C3C2=C(C=C1)C=C4,0
CN(C1CCN(CC1)C2=NC3=C(C=CC=C3)N2CC4=CC=C(F)C=C4)C5=NC=CC(=O)N5,0
NC1=NCC2N1C3=C(CC4=C2C=CC=C4)C=CC=C3,0
CN(C)CCCN,0
CCCOC(C)=O,0
CCCCBr,0
COCCO,1
C1CCOC1,0
CCN(CC)C(C)CN1C2=CC=CC=C2SC3=C1C=CC=C3,1
CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,1
CC1=C(COC(C)(C)C(O)=O)OC(=N1)C2=CC=C(Cl)C=C2,1
OC(=O)CCC(O)=O,0
OC(=O)\C=C/C(O)=O,0
OC(=O)\C=C\C(O)=O,0
CCCCCCCCCCCCCC(=O)OC(C)C,0
CCCCCCCCCC(C)C=O,0
C\C=C\C=C\C(O)=O,0
CCCCCC,0
OCCCCO,0
C1CNCCN1,0
C1=CC=NC=C1,0
CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]2CS[C@@H](CN(CC(O)=O)C2=O)C3=CC=CS3,1
CC1=CC=CC(CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(Cl)C=C4)=C1,0
C[C@]12CC[C@@](C)(C[C@H]1C3=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](O[C@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O[C@@H]7O[C@@H]([C@@H](O)[C@H](O)[C@H]7O)C([O-])=O)C([O-])=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC2)C([O-])=O,0
C[C@H]1CN(C[C@@H](C)N1)C2=C(F)C3=C(C(=O)C(=CN3C4CC4)C(O)=O)C(N)=C2F,1
CCCCCC#CC(=O)OC,0
CCCCCCBr,0
O=CCCCC=O,0
NCCNCCN,0
OCCNCCO,0
OCCOCCO,0
CCCCOCCO,0
CCCCCCC#CC(=O)OC,0
CC(N(O)C(N)=O)C1=CC2=C(S1)C=CC=C2,1
CCOC(=O)C1=C(COCCN)NC(C)=C(C1C2=C(Cl)C=CC=C2)C(=O)OC,1
CN(C)C(=N)NC(N)=N,1
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(C)=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C)C3=CSC(N)=N3,1
CC(C)(C)C(=O)CC(=O)C(C)(C)C,0
OCCOCCN1CCN(CC1)C2=NC3=C(SC4=C2C=CC=C4)C=CC=C3,1
CCCCCCCCC(O)=O,0
CCCCOCCOC(C)=O,0
NCCNCCNCCN,0
CCCCCCCCCCO,0
OC(=O)CCCCCCCCC=C,0
C=CCCCCCCCCC=O,0
CCCCCCCCCCCCO,0
CCCCCCCCCCCC=O,0
CCCCCCCCCCCCCCO,0
CCCCCCCC\C=C/CCCCCCCC(O)=O,0
CCCCCCCCCCCCCCCCCCO,0
CCC1=CC=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)N=C1,1
OC(=O)CN1C(=O)N(CC2=C(F)C=C(Br)C=C2)C(=O)C3=CC=C(Cl)C=C13,0
N#CC1=CC=C(C=C1)C(N2C=NC=N2)C3=CC=C(C=C3)C#N,0
COC1=C(N2CCNC(C)C2)C(F)=CC3=C1N(C=C(C(O)=O)C3=O)C4CC4,1
CN(CC1=CC2=C(C=C1)N=C(C)NC2=O)C3=CC=C(S3)C(=O)N[C@@H](CCC(O)=O)C(O)=O,0
C[C@H](\C=C\[C@@H](O)C1CC1)[C@H]2CC[C@@H]3[C@]2(C)CCC\C3=C/C=C4/C[C@@H](O)C[C@H](O)C4=C,1
CCN1CC(CCN2CCOCC2)C(C1=O)(C3=CC=CC=C3)C4=CC=CC=C4,1
CCC(O)(\C=C\Cl)C#C,1
CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2CC3=CNC4=C3C(=CC=C4)C2=C1,1
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=CC=C3,1
CN(C)CC\C=C1/C2=CC(Cl)=CC=C2SC3=C1C=CC=C3,1
CC1(C)S[C@@H]2[C@H](NC(=O)CC3=CC=CC=C3)C(=O)N2[C@H]1C([O-])=O,1
NCC(CC(O)=O)C1=CC=C(Cl)C=C1,1
NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1,1
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1
CNC(=O)OC1=C(OC(C)C)C=CC=C1,0
CN1[C@H]2C[C@@H](C[C@@H]1[C@H]3O[C@@H]23)OC(=O)[C@H](CO)C4=CC=CC=C4,1
CN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C,1
OC1=C2C(=O)C3=C(O)C=CC=C3CC2=CC=C1,0
BrC1=CC=C(C=C1)C2C(=O)C3=C(C=CC=C3)C2=O,0
CCCCC1=NC(Cl)=C(CO)N1CC2=CC=C(C=C2)C3=C(C=CC=C3)C4=NN=NN4,1
COC1=CC2=C(CCN[C@]23CS[C@H]4[C@H]5[C@@H]6N(C)[C@@H](CC7=CC(C)=C(OC)C(O)=C67)[C@H](O)N5[C@@H](COC3=O)C8=C9OCOC9=C(C)C(OC(C)=O)=C48)C=C1O,1
