smiles,toxicity
[O-][Se](=O)[O-].[Na+].[Na+],0
CC(=O)NC1=CC=CC=C1,1
CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,0
COC1=CC=C(C=CC)C=C1,0
CCCNC1CCC2=C(C1)SC(N)=N2,1
O=C1CCCCCCCCCCCC(=O)OCCO1,0
CC(CCCC(C)(C)O)CC=O,0
C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O,1
NC1=CC(N)=CC=C1,0
CC1=C(C=C2C(CCCS2(=O)=O)=C1)S(N)(=O)=O,1
CCOCCOC(=O)CCCCC(=O)OCCOCC,0
CN(C)CCCN1C2=CC(=CC=C2SC3=C1C=CC=C3)C(F)(F)F,1
COCCOC(C)=O,0
CC(CC1=CC=CC=C1)(NC(=O)CN)C2=CC=CC=C2,0
OC1=C(C=C(Cl)C=C1Cl)C(=O)NC2=CC=C(Cl)C(Cl)=C2,0
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(\C=C/C3=C(C)N=CS3)=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C)C4=CSC(N)=N4,1
OC1=C(C=CC=C1)C(=O)OCC2=CC=CC=C2,0
CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N5CCOCC5)[N+]6(CC=C)CCCC6,0
CCCCCCCC(=O)CCC1C(O)CC(O)C1CC=CCCCC(=O)OC(C)C,0
CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N,1
CCCCCC(C=O)=CC1=CC=CC=C1,0
CN(C)C=NC1=C(I)C=C(I)C(CCC([O-])=O)=C1I,1
CN1C2=CC=CC=C2C3=C1CCN(CC4=C(C)NC=N4)C3=O,1
OC1=CC=C(C=O)C=C1,0
OC1=CC=C(O)C=C1,0
CCCCCCCC=O,0
CN1CCCN=C1COC(=O)C(O)(C2CCCCC2)C3=CC=CC=C3,0
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C(Cl)=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0
CC(=O)C1=C(C)CC(C)(C)C1(C)C,0
COC1C=COC2(C)OC3=C(C2=O)C4=C(O)C(C=NN5CCN(C)CC5)=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C(O)=C4C(O)=C3C,1
NC1=CC(O)=C(C=C1)C([O-])=O,1
COC1=CC(CC2C3=CC(OC)=C(OC)C=C3CC[N+]2(C)CCCOC(=O)CCC=CCCC(=O)OCCC[N+]4(C)CCC5=CC(OC)=C(OC)C=C5C4CC6=CC(OC)=C(OC)C(OC)=C6)=CC(OC)=C1OC,0
NC(=O)[C@@H]1C[C@]2(NC(=O)NC2=O)C3=CC(F)=CC=C3O1,0
CC(C)CC(=O)C(C)=O,0
CCCCC(=O)N(CC1=CC=C(C=C1)C2=C(C=CC=C2)C3=NN=NN3)[C@@H](C(C)C)C(O)=O,1
CN1CCN(CC1)C(=O)O[C@@H]2N(C(=O)C3=NC=CN=C23)C4=NC=C(Cl)C=C4,1
CC(=O)OCC1=CC=CC=C1,1
CCOC(=O)C=CC(=O)OCC,0
