smiles,toxicity
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ba+2],0
ClC1=CC2=C(C=C1)C(=C3CCNCC3)C4=NC=CC=C4CC2,1
O=C=NC1=CC=C(CC2=CC=C(C=C2)N=C=O)C=C1,0
CC1=C(C[S+]([O-])C2=NC3=C(N2)C=CC=C3)N=CC=C1OCC(F)(F)F,1
COC1=CC=C(CO)C=C1,0
O=C1CCCCCCCCCCCC(=O)OCCO1,0
CC(CCC=C(C)C)C=O,0
CCC[N+]([O-])=O,0
CC(C)CC(C)=O,0
NC1=NCC2N1C3=C(CC4=C2C=CC=C4)C=CC=C3,0
CCOCCOC(=O)CCCCC(=O)OCCOCC,0
OC(=O)\C=C\C(O)=O,0
OCCCCO,0
CCCCCC#CC(=O)OC,0
CCCCOCCO,0
OC(=O)CCCCCCCCC=C,0
CCN1CC(CCN2CCOCC2)C(C1=O)(C3=CC=CC=C3)C4=CC=CC=C4,0
CN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C,0
CC(=O)OC1=CC=C(C=C1)C2(C(=O)NC3=C2C=CC=C3)C4=CC=C(OC(C)=O)C=C4,0
COC1=CC(=CC(OC)=C1OP(O)(O)=O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)C6=C2C=C7OCOC7=C6,0
CCN(CC)CC,0
CN(C)C1=CC=CC=C1,0
CN1CCC(CC1)NC2=NC=C3N=CN=C(NC4=CC(Cl)=C(F)C=C4)C3=N2,0
CC(=O)C1=CC=C(C)C=C1,0
COP(=S)(OC)OC1=CC(C)=C(C=C1)[N+]([O-])=O,0
OCCOC1=CC=CC=C1,0
CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,0
COC1=C(OC)C2=C(C=C1)C(OC2=O)C3N(C)CCC4=CC5=C(OCO5)C(OC)=C34,0
CCN(CC)C(=O)C(\C#N)=C\C1=CC(O)=C(O)C(=C1)[N+]([O-])=O,0
O=[Mo](=O)=O,0
CC1=CC=C(O)C=C1,0
COC(=O)C1=C(C)NC(C)=C(C1C2=CC(=CC=C2)[N+]([O-])=O)C(=O)OC(C)(C)CN(C)CCC(C3=CC=CC=C3)C4=CC=CC=C4,1
COC1=CC(CC2C3=CC(OC)=C(OC)C=C3CC[N+]2(C)CCCOC(=O)CCC=CCCC(=O)OCCC[N+]4(C)CCC5=CC(OC)=C(OC)C=C5C4CC6=CC(OC)=C(OC)C(OC)=C6)=CC(OC)=C1OC,0
[Au+3],0
[Ti+4],0
CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=C(C=CC=C2)N3CCCCC3)=C1)C(O)=O,1
CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(O)=O)O1,1
CC(C)CC(=O)C(C)=O,0
FC(F)OC(F)(F)C(F)Cl,1
CCCCCCCCC=CCCCCCCCCO,0
OC1=CC=C(C=C1)C2(OS(=O)(=O)C3=CC=CC=C23)C4=CC=C(O)C=C4,0
NC1=CC=C(C=C1)S(=O)(=O)[N-]C2=NC=CS2,0
CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=C(C=CC=C3)C4=NN=NN4)C(=O)OCC5=C(C)OC(=O)O5)C(C)(C)O,0
CC1=CC(=C(O)C(C)=C1CC2=NCCN2)C(C)(C)C,0
COC1=CC=CC(O)=C1,0
